Zipcode,Food_Stamp,With_Health_Coverage,With_Private_Insurance,With_public_coverage,No_health_insurance_coverage,Below_Poverty_Level
ZCTA5 01338,13.6,96.2,92.4,12.1,3.8,42.3
ZCTA5 01339,8,94.2,78.9,18.2,5.8,4.8
ZCTA5 01340,12.1,90.4,75.6,19.9,9.6,4.4
ZCTA5 01341,3.6,97.5,88,13,2.5,1.5
ZCTA5 01342,6.6,93.3,88,7.4,6.7,9
ZCTA5 01343,15.8,90,76.7,23.3,10,58.2
ZCTA5 01344,10.5,97.5,89.1,12.1,2.5,3.5
ZCTA5 01346,12.1,94.8,84.9,11.8,5.2,5
ZCTA5 01347,0,90.9,81.8,9.1,9.1,58.2
ZCTA5 01349,12.5,99.1,98,9.6,0.9,7.8
ZCTA5 01350,19.7,90.8,80,10.8,9.2,21.6
ZCTA5 01351,6.2,99.4,92.8,12.5,0.6,5.3
ZCTA5 01354,4.8,98.9,93.5,8.5,1.1,2.5
ZCTA5 01355,7.8,96.3,90.2,10.6,3.7,2.7
ZCTA5 01360,10.8,97.5,88.7,13.5,2.5,2.1
ZCTA5 01364,21.4,95.3,79.8,20.6,4.7,4.1
ZCTA5 01366,2.9,97.7,91.9,5.8,2.3,1.8
ZCTA5 01367,17.5,92.8,69.9,26.9,7.2,5.3
ZCTA5 01368,10.5,90.4,81.6,12.8,9.6,4.4
ZCTA5 01370,13.8,94.9,82.5,15.8,5.1,3.6
ZCTA5 01373,10.8,96.5,88,14,3.5,3.8
ZCTA5 01375,5.3,96.8,89.2,11.5,3.2,5.3
ZCTA5 01376,26.9,91.2,76.3,19.5,8.8,8.5
ZCTA5 01378,7.1,99.4,93.7,14.8,0.6,7.4
ZCTA5 01379,16.6,96.7,73.1,28.8,3.3,7.7
ZCTA5 01420,22.7,94.7,79.9,17.9,5.3,3.1
ZCTA5 01430,1.6,97.5,95.8,8,2.5,3.9
ZCTA5 01431,4.4,96.1,87.8,10.5,3.9,3
ZCTA5 01432,8,96.1,90.1,8.2,3.9,4.8
ZCTA5 01434,0,92.2,82.8,9.4,7.8,31.4
ZCTA5 01436,9.2,99.5,86.9,12.6,0.5,6.1
ZCTA5 01438,0,100,100,0,0,37.7
ZCTA5 01440,20.5,96.5,82.1,18.7,3.5,3.4
ZCTA5 01450,1.5,99,97.1,4.2,1,1.9
ZCTA5 01451,2.7,98.7,92.8,7,1.3,5.6
ZCTA5 01452,6.5,97.5,94,5.9,2.5,3.5
ZCTA5 01453,11.7,92.9,81.4,14.4,7.1,2.1
ZCTA5 01460,5.1,98.4,93.5,5.5,1.6,1.9
ZCTA5 01462,5,97.3,92.6,5.9,2.7,4.7
ZCTA5 01463,8,94.7,89,7.8,5.3,2
ZCTA5 01464,12,96.8,85.7,14.1,3.2,7.9
ZCTA5 01467,0,100,100,0,0,26.9
ZCTA5 01468,6.6,94.4,91.2,5.3,5.6,7
ZCTA5 01469,8.4,96.7,89.8,8.7,3.3,2.9
ZCTA5 01473,2.7,99,96.2,5,1,1.6
ZCTA5 01474,4.6,96,94.4,3.9,4,3.4
ZCTA5 01475,16.3,98.6,87.6,17.3,1.4,4.4
ZCTA5 01501,5.4,96.7,91.1,8.3,3.3,1.2
ZCTA5 01503,3.3,97.3,89.3,8.9,2.7,2
ZCTA5 01504,5.1,97.2,89.7,8.9,2.8,1.4
ZCTA5 01505,4.5,97.6,96.2,3.4,2.4,0.9
ZCTA5 01506,6.4,94.5,86.2,10.5,5.5,2.8
ZCTA5 01507,5.7,98,93.1,6,2,2.1
ZCTA5 01510,10.8,95.1,83.3,14.1,4.9,3
ZCTA5 01515,3.7,97.9,92,8,2.1,2.5
ZCTA5 01516,9.1,98.6,96.7,4.2,1.4,2.3
ZCTA5 01518,9,99,87.5,14.5,1,6.5
ZCTA5 01519,5.9,98.6,93.3,6.7,1.4,3.4
ZCTA5 01520,3.6,98.6,93.4,6.7,1.4,0.9
ZCTA5 01521,7.9,94.6,86.9,10,5.4,2.6
ZCTA5 01522,2,100,97.9,3.3,0,0.9
ZCTA5 01523,3.4,95.5,88.8,7.5,4.5,7.1
ZCTA5 01524,10.3,97.1,90.8,8.1,2.9,3.8
ZCTA5 01525,0,100,100,0,0,53.6
ZCTA5 01527,8,95,92.6,4.6,5,3
ZCTA5 01529,9.6,96.6,91.2,8.4,3.4,4.6
ZCTA5 01531,6.1,96.1,88.8,7.7,3.9,1.6
ZCTA5 01532,4.8,97.8,93.9,6.7,2.2,1.6
ZCTA5 01534,9.1,98.9,92.1,7.9,1.1,3.4
ZCTA5 01535,9.8,98.9,92.7,11.4,1.1,4
ZCTA5 01536,5.3,95.6,89.5,8.9,4.4,2.9
ZCTA5 01537,11.1,99.9,87.9,13.2,0.1,14
ZCTA5 01540,11.6,95.7,86.9,12.7,4.3,1.6
ZCTA5 01541,0,100,92.4,7.6,0,2.5
ZCTA5 01542,0,100,95.1,4.9,0,3.2
ZCTA5 01543,7,99.3,97,5.7,0.7,1.3
ZCTA5 01545,4.7,97.8,92.8,6,2.2,0.9
ZCTA5 01550,30.7,95.2,76.1,22.4,4.8,3.6
ZCTA5 01560,10.9,96.7,89.4,8.2,3.3,4.5
ZCTA5 01561,0,100,36.9,63.1,0,67.2
ZCTA5 01562,10.8,96.6,90.3,9.9,3.4,3.9
ZCTA5 01564,6.3,98.1,89.2,9.5,1.9,3.2
ZCTA5 01566,5.7,99.1,92.5,8.1,0.9,4.2
ZCTA5 01568,6,97.8,94.8,3.5,2.2,3.2
ZCTA5 01569,4.5,96.2,90.6,7.5,3.8,2.8
ZCTA5 01570,19.9,94.7,82.3,15.3,5.3,3.2
ZCTA5 01571,7.7,96.7,90.4,7.8,3.3,5.1
ZCTA5 01581,4,95.3,92,6.3,4.7,2.3
ZCTA5 01583,4.4,98.2,93.5,6.1,1.8,2.1
ZCTA5 01585,5.4,97.6,90.1,9.2,2.4,4.1
ZCTA5 01588,10.6,95.9,87,14.3,4.1,4
ZCTA5 01590,6.9,100,98,3.2,0,2.7
ZCTA5 01602,11.6,97.2,86.8,12.9,2.8,2.6
ZCTA5 01603,28.8,95.9,79.5,19.7,4.1,4.5
ZCTA5 01604,20,96,80.3,18,4,2.5
ZCTA5 01605,30.7,91.6,70.5,23.9,8.4,3.7
ZCTA5 01606,7.9,96.7,87.7,13.4,3.3,2.9
ZCTA5 01607,23.5,94.2,79.5,17.9,5.8,6.5
ZCTA5 01608,48.6,89,56,37.3,11,12.5
ZCTA5 01609,20.5,95.1,81.5,15.2,4.9,4.2
ZCTA5 01610,37.5,90.1,63,30.5,9.9,4.4
ZCTA5 01611,18.7,99.3,78,24.7,0.7,5.7
ZCTA5 01612,3.9,98,97.8,1.6,2,3
ZCTA5 01701,4.8,94.7,87.6,9.7,5.3,1.6
ZCTA5 01702,15.5,88.1,71.9,18.5,11.9,2.9
ZCTA5 01718,0,100,100,0,0,29.4
ZCTA5 01719,2,95.6,93,4.1,4.4,2.7
ZCTA5 01720,3.7,96.4,93.7,5.9,3.6,0.8
ZCTA5 01721,2.6,97.1,94.3,3.8,2.9,1.7
ZCTA5 01730,4.3,98.5,94.1,5.6,1.5,2.1
ZCTA5 01731,2.8,100,100,14.8,0,4.4
ZCTA5 01740,1.8,98.3,92.7,5.9,1.7,1.7
ZCTA5 01741,1.4,99,95.8,4.5,1,3.6
ZCTA5 01742,1.1,98.1,95.8,3.3,1.9,2.1
ZCTA5 01745,6.2,100,93.8,19.2,0,25.8
ZCTA5 01746,4.5,98.1,95.5,4.6,1.9,2.4
ZCTA5 01747,4.9,100,96.6,4.1,0,1.7
ZCTA5 01748,2.2,97.9,94.5,4,2.1,0.8
ZCTA5 01749,6.6,94.7,89.4,8.2,5.3,2.2
ZCTA5 01752,7.8,93.6,81.3,15,6.4,1.7
ZCTA5 01754,5.4,96.1,87.1,9.7,3.9,5.2
ZCTA5 01756,3.3,98.4,95.6,4.5,1.6,1.2
ZCTA5 01757,8.6,92.9,82.7,11.6,7.1,2.9
ZCTA5 01760,3.9,97.9,94.5,5.5,2.1,0.8
ZCTA5 01770,0.7,96.6,95.7,2.6,3.4,1.9
ZCTA5 01772,2.5,98.2,97.4,2.1,1.8,1.7
ZCTA5 01773,0.6,94,88.9,8.2,6,2.6
ZCTA5 01775,3.5,98.4,93.7,7.4,1.6,1.7
ZCTA5 01776,1.5,99.4,97.1,3.4,0.6,1
ZCTA5 01778,2,99.2,96.3,4.2,0.8,1.4
ZCTA5 01801,7.4,95.3,87.3,9.3,4.7,1.7
ZCTA5 01803,4.9,96.4,90.5,8.6,3.6,1.9
ZCTA5 01810,5.3,98.2,95.8,3.9,1.8,1.3
ZCTA5 01821,4.4,96.7,92.5,8.2,3.3,1.4
ZCTA5 01824,3.6,97.4,94.5,5,2.6,1.1
ZCTA5 01826,7.1,97.6,89.6,10.6,2.4,1.6
ZCTA5 01827,0,96.7,93.9,4,3.3,0.8
ZCTA5 01830,17.1,93.7,79.8,17.6,6.3,3.2
ZCTA5 01832,16.3,93.9,82.3,15.1,6.1,2.4
ZCTA5 01833,2.6,98.2,93.6,5.9,1.8,1.9
ZCTA5 01834,1.4,96.6,90.3,7.6,3.4,2.5
ZCTA5 01835,6.1,97.6,93.7,6.1,2.4,3.1
ZCTA5 01840,52.6,87.8,57.8,34.1,12.2,8
ZCTA5 01841,45.7,85.5,49,38.7,14.5,3.2
ZCTA5 01843,30,90.4,62.6,31.1,9.6,4
ZCTA5 01844,11,95.8,87.3,10.4,4.2,1.6
ZCTA5 01845,4.5,95.6,92.9,5,4.4,1.6
ZCTA5 01850,23.8,90.5,70.2,21.7,9.5,4.7
ZCTA5 01851,19.5,92.5,76.6,20.2,7.5,3.1
ZCTA5 01852,21.5,91.6,76.6,18.9,8.4,3.1
ZCTA5 01854,24.2,92.4,78.5,16.5,7.6,3
ZCTA5 01860,4.9,96.6,94.8,4.2,3.4,3.7
ZCTA5 01862,2.7,96.7,93.3,4.6,3.3,2.3
ZCTA5 01863,4.2,98.3,94.3,6,1.7,0.5
ZCTA5 01864,3.2,98.3,95.4,4.5,1.7,1.9
ZCTA5 01867,3.2,98.3,95.1,4.3,1.7,1.3
ZCTA5 01876,4.3,96.8,94.2,4.3,3.2,1.3
ZCTA5 01879,4.4,97.3,92.9,5.4,2.7,3.6
ZCTA5 01880,6.9,98.6,95,5.5,1.4,1
ZCTA5 01886,2.2,98,96.4,2,2,1.2
ZCTA5 01887,6.3,98.1,92.8,6.9,1.9,1.4
ZCTA5 01890,1.6,99.2,97.5,2.8,0.8,1.1
ZCTA5 01901,45.3,96.7,61.1,35.5,3.3,15.4
ZCTA5 01902,34.6,89,59.9,31.4,11,2.6
ZCTA5 01904,9.7,98.2,90.3,11.7,1.8,2.5
ZCTA5 01905,27.4,88.9,64.5,26.6,11.1,3.1
ZCTA5 01906,8.5,96.6,89.7,9,3.4,1.6
ZCTA5 01907,6.1,96.7,93.2,4.7,3.3,2.2
ZCTA5 01908,6.7,96.3,93.1,3.6,3.7,1.9
ZCTA5 01913,5.1,94.6,85.2,12.9,5.4,1.3
ZCTA5 01915,10.1,95.7,89.1,8.3,4.3,1.9
ZCTA5 01921,1.9,97.1,91.8,7,2.9,3.5
ZCTA5 01922,3.1,94,86.2,7.8,6,4.9
ZCTA5 01923,6.2,97.3,91.5,8.3,2.7,1.3
ZCTA5 01929,4.9,90.7,87.1,3.9,9.3,1.4
ZCTA5 01930,8.3,95.2,82.6,16.8,4.8,1.9
ZCTA5 02557,2.2,92,80.4,11.6,8,7.1
ZCTA5 02558,19.7,100,84.1,15.9,0,26.6
ZCTA5 02559,5.3,96.1,90.1,7.1,3.9,4.6
ZCTA5 02561,0,60.9,60.9,0,39.1,32
ZCTA5 02562,1.9,96.1,89.1,8.9,3.9,5.7
ZCTA5 02563,5.5,97.8,93.5,6.5,2.2,2
ZCTA5 02564,0,100,100,17.5,0,42.3
